participantId,age,gender,education,location,belief_pre,belief_post,belief_change,distance_pre,distance_post,distance_change,policy_adoption_pre,policy_adoption_post,policy_adoption_change,consumption_pre,consumption_post,consumption_change,general_sharing_pre,general_sharing_post,general_sharing_change,intervention_sharing_post,perceived_anthropomorphism_post,perceived_animacy_post,perceived_likeability_post,perceived_intelligence_post,perceived_safety_post,empathy_with_the_animal_post,climate_change_impact_on_animal_post,intentions_pre,intentions_post,intentions_change,self_perceived_behavior_pre,self_perceived_behavior_post,self_perceived_behavior_change,choices,condition,animal
4BA733868C414C398682A236C6A6243A,61,2,5,2,78.75,75.5,-3.25,4,4,0,51.71428571,52.57142857,0.8571428571,5,4.666666667,-0.3333333333,0,0,0,,2,3.5,4,4.5,3,4,4,1.5,1,-0.5,3,3,0,3,Static Character Narrative,beluga
D409125A0FE042739BEFEF748B34D88D,37,1,2,2,97.25,98.75,1.5,5,4.6,-0.4,89.57142857,88.42857143,-1.142857143,6.5,6.5,0,1,1,0,0,2,3.5,4,3.5,3,5,5,4.5,4.5,0,2,2,0,5,Static Character Narrative,beluga
FCD6A8ACD90E4D4C937E26784E8BB3DF,47,2,5,3,95.25,100,4.75,6,6,0,60.71428571,57.14285714,-3.571428571,5.833333333,5.833333333,0,0,0,0,,3,5,5,5,3,4,5,5,5,0,1,1,0,4,Static Character Narrative,beluga
910764F7860D47059399CAD59403A632,26,1,5,2,82,82.75,0.75,4.6,5.6,1,72.57142857,72.71428571,0.1428571429,4.333333333,4.5,0.1666666667,0,0,0,,4,3.5,5,4,3,4,5,3.5,3.5,0,1.5,2,0.5,1.666666667,Static Character Narrative,beluga
94036DB645EF483D8D707C189AED2F04,48,2,3,2,93.75,98.75,5,4.4,4,-0.4,92.85714286,96.71428571,3.857142857,4.833333333,5.166666667,0.3333333333,0,0,0,1,5,5,5,5,3,5,5,4.5,5,0.5,4,4,0,5,Static Character Narrative,beluga
CEFD2FE92E6847B2B27FF0175811CE81,31,4,5,3,97.5,100,2.5,4,4,0,87.14285714,90,2.857142857,5.666666667,5.833333333,0.1666666667,1,1,0,0,3,4,5,4,3,4,5,3,3.5,0.5,3,3,0,5,Static Character Narrative,beluga
4540F5C84FA844DF8E3EC30D01F0F5BF,67,2,5,1,76.25,73.75,-2.5,5.8,6,0.2,69,72.71428571,3.714285714,5.666666667,5.833333333,0.1666666667,1,1,0,0,4,4,4,4.5,4,4,4,3,3,0,2.5,2,-0.5,4,Static Character Narrative,beluga
2AB26E7973A24CD49DFFD2165773EFA4,40,1,5,3,56,53.25,-2.75,3.8,4,0.2,52.28571429,48.42857143,-3.857142857,4.166666667,4.166666667,0,0,0,0,,3,4,4,4,3,3,4,2.5,2.5,0,2,2,0,1,Static Character Narrative,beluga
74D4A25E838A45D2899F4F71A0658D6F,24,2,6,2,30,32.5,2.5,3,3.6,0.6,62.85714286,63.57142857,0.7142857143,5.333333333,5,-0.3333333333,,,,,3,2.5,5,3.5,2,4,3,4,4,0,1,1,0,0.4,Static Character Narrative,beluga
AECCBDB5B50C4104A5A426E0C46B6648,51,2,5,2,21.75,9.75,-12,4.2,4.2,0,70.42857143,67.14285714,-3.285714286,5,4.666666667,-0.3333333333,0,0,0,,2,2,3,4,3,4,4,4,3.5,-0.5,2,2,0,0.25,Conversational Character Narrative,seahorse
534F2B101F664EB2AB534067042C57AB,38,1,3,2,0,0,0,2.2,2.6,0.4,51.42857143,52.14285714,0.7142857143,2.166666667,2,-0.1666666667,0,0,0,1,4,5,5,4,3,4,1,2.5,2.5,0,2.5,3,0.5,3,Conversational Character Narrative,seahorse
6EDE52107D6749A480FEBCA166F8AD08,38,1,6,2,88,89.5,1.5,4.8,4.8,0,88.71428571,88.85714286,0.1428571429,5.666666667,5.666666667,0,0,0,0,,4,4.5,5,4.5,3,5,5,3,3,0,4,4,0,0.5,Conversational Character Narrative,seahorse
2BB2528413C345F1A1C8EC11B37984F7,77,2,3,1,2,2,0,2.6,2.6,0,35.14285714,35.28571429,0.1428571429,4.333333333,4.333333333,0,,,,1,4,4.5,5,5,3,5,3,3,3,0,2,2,0,4,Conversational Character Narrative,seahorse
